sale_id;line_id;date;time;store_id;store_type;zone;surface;hyper;specialty_brands;open_time;open_to_clients_hours;open_days;foot_traffic_by_hour;daily_foot_traffic;nb_employees;employee_id;employee_profile;monthly_salary;anciennete_mois;hire_date;job_role;average_day_time_backoffice;average_day_time_frontoffice;customer_id;genre;age;favorite_brand;has_loyalty_card;customer_profile;loyalty_points_used;loyalty_points_earned;product_id;product_kind;brand;category;model;color;size;price_sold;tva_rate;price_ht;tva_amount;loyalty_discount_ttc;gross_price_ttc_before_loyalty;base_price;is_best_seller;total_discount_applied;special_offer_discount;discount_value_fidelity;ajust_value_magasin;discount_val_month;pct_economise;year_month;CA_month
V000001;L0000001;2024-01-30;14:48;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0003;Blase;2349;168;2010-12-17;Sales;0,26;0,74;C0083;M;46;;true;sneakerhead;0;11;P027;shoe;Puma;Casual;Zoom;Light Green;33;110,79;0,2;92,33;18,46;0;110,79;110,79;true;0;0;0;-10;0;0;2024-01;41323,97
V000002;L0000002;2024-01-17;15:36;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0001;Blase;2519;214;2007-02-28;Sales;0,27;0,73;C0184;M;42;;false;impulsif;0;0;P041;shoe;Puma;Training;Air;Red Blood;42;91,5;0,2;76,25;15,25;0;91,5;91,5;false;0;0;0;-10;0;0;2024-01;41323,97
V000003;L0000003;2024-01-01;11:59;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0007;Experimente;2864;96;2016-12-20;Support;0,1;0,9;C0250;F;20;Puma;true;fidele_marque;0;11;P027;shoe;Puma;Casual;Zoom;Light Green;33;110,79;0,2;92,33;18,46;0;110,79;110,79;true;0;0;0;-10;0;0;2024-01;41323,97
V000004;L0000004;2024-01-09;09:22;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0007;Experimente;2864;96;2016-12-20;Support;0,1;0,9;C0032;F;47;;true;impulsif;162;4;P040;shoe;Asics;Casual;Flex;Light Green;45;45,7;0,2;38,08;7,62;16,2;61,9;88,43;false;42,73;0;16,2;-10;26,53;48,32;2024-01;41323,97
V000005;L0000005;2024-01-09;16:53;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0004;Experimente;2832;108;2015-12-03;Sales;0,08;0,92;C0141;F;30;;true;chasseur_de_promos;0;15;P004;shoe;Asics;Limited Edition;Max;Black;34;157,3;0,2;131,08;26,22;0;157,3;157,3;false;0;0;0;-10;0;0;2024-01;41323,97
V000006;L0000006;2024-01-30;15:54;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0006;JeunePrometteur;1942;35;2022-01-22;Sales;0,11;0,89;C0125;F;16;;true;chasseur_de_promos;177;9;P008;shoe;Jordans;Casual;Max;Brown Bear;44;93,3;0,2;77,75;15,55;17,7;111;111;true;17,7;0;17,7;-10;0;15,95;2024-01;41323,97
V000007;L0000007;2024-01-10;13:34;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0007;Experimente;2864;96;2016-12-20;Support;0,1;0,9;C0219;F;23;;true;impulsif;157;16;P051;shoe;Asics;Limited Edition;Flex;Black;34;135,63;0,2;113,03;22,6;15,7;151,33;151,33;true;15,7;0;15,7;-10;0;10,37;2024-01;41323,97
V000007;L0000008;2024-01-10;13:34;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0007;Experimente;2864;96;2016-12-20;Support;0,1;0,9;C0219;F;23;;true;impulsif;157;16;A007;accessory;Accessoire;Chaussettes;Chaussettes;White;M;26,46;0,2;22,05;4,41;0;26,46;26,46;false;0;0;0;-10;0;0;2024-01;41323,97
V000008;L0000009;2024-01-13;17:27;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0003;Blase;2349;168;2010-12-17;Sales;0,26;0,74;C0078;M;36;;true;chasseur_de_promos;0;15;P051;shoe;Asics;Limited Edition;Flex;Black;34;151,33;0,2;126,11;25,22;0;151,33;151,33;true;0;0;0;-10;0;0;2024-01;41323,97
V000009;L0000010;2024-01-20;17:50;S01;Discount;Peripherie;249;oui;Puma|Asics|Jordans;10;9h/19h;open 6/7;56;560;8;E0007;Experimente;2864;96;2016-12-20;Support;0,1;0,9;C0033;M;31;;true;sneakerhead;0;16;P061;shoe;Jordans;Limited Edition;Zoom;Pink;43;160;0,2;133,33;26,67;0;160;160;true;0;0;0;-10;0;0;2024-01;41323,97
