product_id;product_kind;brand;model;category;color;size;base_price;is_best_seller
P001;shoe;Adidas;Elite;Limited Edition;Gold;39;220;false
P002;shoe;New Balance;Pro;Trail;Classic Grey;33;114;false
P003;shoe;Reebok;Flex;Training;Deep Blue;41;60;false
P004;shoe;Asics;Max;Limited Edition;Black;34;204;false
P005;shoe;New Balance;Flex;Training;Gold;36;80;false
P006;shoe;Puma;Elite;Casual;Premium Black;35;113,4;true
P007;shoe;Nike;Elite;Limited Edition;Brown Bear;45;195;false
P008;shoe;Jordans;Max;Casual;Brown Bear;44;156,6;true
P009;shoe;Reebok;Max;Limited Edition;Sunny Yellow;34;230;false
P010;shoe;Puma;Air;Training;White;43;169;false
P011;shoe;Adidas;Air;Trail;Red Blood;43;91,8;true
P012;shoe;Adidas;Zoom;Limited Edition;Black;41;229;false
P013;shoe;Reebok;Elite;Running;Deep Blue;41;169;false
P014;shoe;Reebok;Pro;Training;Red Blood;34;104;false
P015;shoe;Nike;Air;Training;Light Green;37;159;false
P016;shoe;Jordans;Pro;Running;Premium Black;42;159;false
P017;shoe;Jordans;Max;Casual;Deep Purple;42;79;false
P018;shoe;Adidas;Max;Basketball;Light Green;35;120;false
P019;shoe;New Balance;Max;Trail;White;43;171,72;true
P020;shoe;Reebok;Flex;Training;Classic Grey;45;60;false
P021;shoe;Jordans;Elite;Basketball;Deep Blue;30;54;false
P022;shoe;Jordans;Elite;Limited Edition;Black;40;195;false
P023;shoe;Adidas;Elite;Running;Pink;38;60;false
P024;shoe;Adidas;Elite;Casual;Gold;33;164;false
P025;shoe;Asics;Pro;Running;Electric Blue;38;159;false
P026;shoe;Puma;Flex;Limited Edition;Black;30;190;false
P027;shoe;Puma;Zoom;Casual;Light Green;33;155,52;true
P028;shoe;Reebok;Max;Running;Classic Grey;36;79;false
P029;shoe;Nike;Max;Casual;Pink;32;114;false
P030;shoe;Reebok;Max;Training;Deep Blue;43;79;false
P031;shoe;Adidas;Max;Running;Deep Purple;36;110;false
P032;shoe;Adidas;Zoom;Basketball;Gold;33;124;false
P033;shoe;Adidas;Air;Casual;Brown Bear;30;129,6;true
P034;shoe;Puma;Flex;Casual;Pink;34;85;false
P035;shoe;Puma;Zoom;Running;Deep Purple;33;104;false
P036;shoe;Puma;Pro;Running;Sunny Yellow;36;60;false
P037;shoe;Nike;Max;Trail;Classic Grey;42;169;false
P038;shoe;Asics;Zoom;Basketball;Premium Black;39;159;false
P039;shoe;Adidas;Zoom;Casual;White;30;134;false
P040;shoe;Asics;Flex;Casual;Light Green;45;79;false
P041;shoe;Puma;Air;Training;Red Blood;42;85;false
P042;shoe;Puma;Zoom;Training;Deep Blue;34;144;false
P043;shoe;Reebok;Air;Casual;Brown Bear;37;129;false
P044;shoe;Reebok;Max;Limited Edition;Deep Purple;31;230;false
P045;shoe;Asics;Pro;Basketball;Classic Grey;39;85;false
P046;shoe;New Balance;Elite;Training;Deep Blue;41;110;false
P047;shoe;Reebok;Max;Basketball;Red Blood;31;85;false
P048;shoe;New Balance;Max;Limited Edition;Premium Black;40;269;false
P049;shoe;Nike;Zoom;Running;Deep Blue;35;123,12;true
P050;shoe;New Balance;Max;Running;Light Green;41;159;false
P051;shoe;Asics;Flex;Limited Edition;Black;34;183,6;true
P052;shoe;New Balance;Zoom;Trail;Gold;35;74;false
P053;shoe;Puma;Flex;Basketball;Light Green;31;144;false
P054;shoe;Adidas;Max;Running;Red Blood;37;85;false
P055;shoe;New Balance;Pro;Running;Light Green;37;139;false
P056;shoe;Nike;Air;Casual;Pink;33;104;false
P057;shoe;Reebok;Air;Training;Gold;44;159;false
P058;shoe;Puma;Air;Trail;White;36;145;false
P059;shoe;Puma;Air;Casual;Light Green;36;85,32;true
P060;shoe;Nike;Elite;Casual;Classic Grey;42;60;false
P061;shoe;Jordans;Zoom;Limited Edition;Pink;43;216;true
P062;shoe;Adidas;Pro;Training;Gold;42;179;false
P063;shoe;Reebok;Flex;Trail;Deep Blue;31;54;false
P064;shoe;New Balance;Air;Running;Black;30;144;false
A001;accessory;Accessoire;Lacets;Lacets;Classic Grey;XL;10;false
A002;accessory;Accessoire;Lacets;Lacets;Deep Blue;S;10;false
A003;accessory;Accessoire;Sac de sport;Sac de sport;Black;XL;40;false
A004;accessory;Accessoire;Tee-shirt;Tee-shirt;White;XL;15;false
A005;accessory;Accessoire;Lacets;Lacets;White;M;25;false
A006;accessory;Accessoire;Bonnet;Bonnet;Deep Blue;XS;10;false
A007;accessory;Accessoire;Chaussettes;Chaussettes;White;M;30;false
A008;accessory;Accessoire;Tee-shirt;Tee-shirt;Black;M;20;false
